id_,name,formula,state,Hc,Hf,Gf,CP,S
"metano,g",metano,CH4,g,-890,-74.81,-50.72,35.69,186.26
"etino,g",etino,C2H2,g,-1300,226.73,209.2,43.93,200.94
"eteno,g",eteno,C2H4,g,-1411,52.26,68.15,43.56,219.56
"etano,g",etano,C2H6,g,-1560,-84.68,-32.82,52.63,229.6
"propeno,g",propeno,C3H6,g,-2058,20.42,62.78,63.89,266.6
"ciclopropano,g",ciclopropano,C3H6,g,-2091,53.3,104.45,55.94,237.4
"propano,g",propano,C3H8,g,-2220,-103.85,-23.49,73.5,270.2
"butano,g",butano,C4H10,g,-2878,-126.15,-17.03,97.45,310.1
"pentano,g",pentano,C5H12,g,-3537,-146.44,-8.2,120.2,349
"benzeno,l",benzeno,C6H6,l,-3268,49,124.3,136.1,173.3
"benzeno,g",benzeno,C6H6,g,-3302,82.9,129.72,81.67,269.31
"cicloexano,l",cicloexano,C6H12,l,-3920,-156.4,26.7,156.5,204.4
"cicloexeno,l",cicloexeno,C6H10,l,-3752,-37.8,,148.8,
"cicloexano,g",cicloexano,C6H12,g,-3953,,,,
"tolueno,l",tolueno,C7H8,l,-3910,12,113.8,157,221
"tolueno,g",tolueno,C7H8,g,-3953,50,122,103.6,320.7
"octano,l",octano,C8H18,l,-5471,-249.9,6.4,,358
"metanol,l",metanol,CH3OH,l,-726,-238.86,-166.27,81.6,126.8
"metanol,g",metanol,CH3OH,g,-764,-200.66,-161.96,43.89,239.81
"etanol,l",etanol,C2H5OH,l,-1368,-277.69,-174.78,111.46,160.7
"etanol,g",etanol,C2H5OH,g,-1409,-235.1,-168.49,65.44,282.7
"fenol,s",fenol,C6H5OH,s,-3054,-164.6,-50.42,,144
"acido formico,l",ácido fórmico,HCOOH,l,-255,-424.72,-361.35,99.04,128.95
"acido acetico,l",ácido acético,CH3COOH,l,-875,-484.5,-389.9,124.3,159.8
"acido acetico,aq",ácido acético,CH3COOH,aq,,-485.76,-396.46,,178.7
"acetato,aq",acetato,CH3CO2^-,aq,,-486,-396.3,,186.6
"acido oxalico,s",ácido oxálico,H2C2O4,s,-254,-827.2,-697.9,117,120
"acido benzoico,s",ácido benzóico,C6H5COOH,s,-3227,-385.1,-245.3,146.8,167.6
"metanal,g",metanal,HCHO,g,-571,-108.57,-102.53,35.4,218.77
"propanal,l",propanal,CH3CHO,l,-1166,-192.3,-128.12,,160.2
"propanal,g",propanal,CH3CHO,g,-1192,-166.19,-128.86,57.3,250.3
"acetona,l",acetona,CH3COCH3,l,-1790,-248.1,-155.4,124.7,200
"glicose,s",glicose,C6H12O6,s,-2808,-1268,-910,,212
"glicose,aq",glicose,C6H12O6,aq,,,-917,,
"frutose,s",frutose,C6H12O6,s,-2810,-1266,,,
"sacarose,s",sacarose,C12H22O11,s,-5645,-2222,-1545,,360
"metilamina,g",metilamina,CH3NH2,g,-1085,-22.97,32.16,53.1,243.41
"ureia,s",ureia,CO(NH2)2,s,-632,-333.51,-197.33,93.14,104.6
"glicina,s",glicina,NH2CH2COOH,s,-969,-532.9,-373.4,99.2,103.51
"anilina,l",anilina,C6H5NH2,l,-3393,31.6,149.1,,191.3
