id_,name,formula,Kps
Al(OH)3,hidróxido de alumínio,Al(OH)3,1.00E-33
Sb2S3,sulfeto de antimônio,Sb2S3,1.70E-93
BaCO3,carbonato de bário,BaCO3,8.10E-09
BaF2,fluoreto de bário,BaF2,1.70E-06
BaSO4,sulfato de bário,BaSO4,1.10E-10
Bi2S3,sulfeto de bismuto,Bi2S3,1.00E-97
CaCO3,carbonato de cálcio,CaCO3,8.70E-09
CaF2,fluoreto de cálcio,CaF2,4.00E-11
Ca(OH)2,hidróxido de cálcio,Ca(OH)2,5.50E-06
CaSO4,sulfato de cálcio,CaSO4,2.40E-05
Cr(IO3)3,iodato de cromo (III),Cr(IO3)3,5.00E-06
CuBr,brometo de cobre (I),CuBr,4.20E-08
CuCl,cloreto de cobre (I),CuCl,1.00E-06
CuI,iodeto de cobre (I),CuI,5.10E-12
Cu2S,sulfeto de cobre (I),Cu2S,2.00E-47
Cu(IO3)2,iodato de cobre (II),Cu(IO3)2,1.40E-07
CuC2O4,oxalato de cobre (II),CuC2O4,2.90E-08
CuS,sulfeto de cobre (II),CuS,1.30E-36
Fe(OH)2,hidróxido de ferro (II),Fe(OH)2,1.60E-14
FeS,sulfeto de ferro (II),FeS,6.30E-18
Fe(OH)3,hiróxido de ferro (III),Fe(OH)3,2.00E-39
PbBr2,brometo de chumbo (II),PbBr2,7.90E-05
PbCl2,cloreto de chumbo (II),PbCl2,1.60E-05
PbF2,fluoreto de chumbo (II),PbF2,3.70E-08
Pb(IO3)2,iodato de chumbo (II),Pb(IO3)2,2.60E-13
PbI2,iodeto de chumbo (II),PbI2,1.40E-08
PbSO4,sulfato de chumbo (II),PbSO4,1.60E-08
PbS,sulfeto de chumbo (II),PbS,8.80E-29
MgNH4PO4,fosfato de antimônio e magnésio,MgNH4PO4,2.50E-13
MgCO3,carbonato de magnésio,MgCO3,1.00E-05
MgF2,fluoreto de magnésio,MgF2,6.40E-09
Mg(OH)2,hidróxido de magnésio,Mg(OH)2,1.10E-11
Hg2Cl2,cloreto de mercúrio (I),Hg2Cl2,2.60E-18
Hg2I2,iodeto de mercúrio (I),Hg2I2,1.20E-18
Ni(OH)2,hidróxido de níquel (II),Ni(OH)2,6.50E-18
AgBr,brometo de prata,AgBr,7.70E-13
Ag2CO3,carbonato de prata,Ag2CO3,6.20E-12
AgCl,cloreto de prata,AgCl,1.60E-10
AgOH,hidróxido de prata,AgOH,1.50E-08
AgI,iodeto de prata,AgI,8.00E-17
Ag2S,sulfeto de prata,Ag2S,6.30E-51
Ag2SO4,sulfato de prata,Ag2SO4,1.4E-5
Zn(OH)2,hidróxido de zinco,Zn(OH)2,2.00E-17
ZnS,sulfeto de zinco,ZnS,1.60E-24
