id_,name,formula,HL
H2,\ce{H2},H2,436
N2,\ce{N2},N2,944
O2,\ce{O2},O2,496
CO,\ce{CO},CO,1074
F2,\ce{F2},F2,158
Cl2,\ce{Cl2},Cl2,242
Br2,\ce{Br2},Br2,193
I2,\ce{I2},I2,151
HF,\ce{HF},HF,565
HCl,\ce{HCl},HCl,431
HBr,\ce{HBr},HBr,366
HI,\ce{HI},HI,299
C-H,\ce{C-H},C-H,412
C-C,\ce{C-C},C-C,348
C=C,\ce{C=C},C=C,612
C#C,\ce{C#C},C#C,837
C-O,\ce{C-O},C-O,360
C=O,\ce{C=O},C=O,743
C-N,\ce{C-N},C-N,305
C-F,\ce{C-F},C-F,484
C-Cl,\ce{C-Cl},C-Cl,338
C-Br,\ce{C-Br},C-Br,276
C-I,\ce{C-I},C-I,238
N-H,\ce{N-H},N-H,388
N-N,\ce{N-N},N-N,163
N=N,\ce{N=N},N=N,409
N-O,\ce{N-O},N-O,210
N=O,\ce{N=O},N=O,630
N-F,\ce{N-F},N-F,270
N-Cl,\ce{N-Cl},N-Cl,200
O-H,\ce{O-H},O-H,463
O-O,\ce{O-O},O-O,157
